ticker,sector,price_at_flag,dcf_base_mos,graham_mos,date_flagged,risk_overall,tier,tier_score
APA,Energy,41.19,179.5,,2026-08-27,high,,
EOG,Energy,144.84,132.6,,2026-08-27,high,,
DVN,Energy,46.83,115.0,,2026-08-27,high,,
RRC,Energy,41.55,87.1,,2026-08-27,high,,
COP,Energy,130.61,51.8,,2026-08-27,high,,
OXY,Energy,58.62,51.6,,2026-08-27,high,,
BAC,Financials,62.23,,,2026-08-27,medium,,
WFC,Financials,85.23,,,2026-08-27,medium,,
C,Financials,133.56,,,2026-08-27,medium,,
USB,Financials,62.8,,,2026-08-27,medium,,
TFC,Financials,50.67,,,2026-08-27,medium,,
PNC,Financials,244.67,,,2026-08-27,medium,,
COF,Financials,217.21,,,2026-08-27,medium,,
STT,Financials,193.62,,,2026-08-27,medium,,
MTB,Financials,241.54,,,2026-08-27,medium,,
RF,Financials,30.7,,,2026-08-27,medium,,
CFG,Financials,70.49,,,2026-08-27,medium,,
HBAN,Financials,17.04,,,2026-08-27,medium,,
KEY,Financials,22.09,,,2026-08-27,medium,,
FITB,Financials,55.1,,,2026-08-27,medium,,
BRK-B,Financials,504.91,,,2026-08-27,medium,,
MET,Financials,96.52,,,2026-08-27,medium,,
PRU,Financials,120.24,,,2026-08-27,medium,,
AFL,Financials,117.45,,,2026-08-27,medium,,
ALL,Financials,261.81,,,2026-08-27,medium,,
CB,Financials,343.77,,,2026-08-27,medium,,
TRV,Financials,371.15,,,2026-08-27,medium,,
AIG,Financials,76.97,,,2026-08-27,medium,,
HIG,Financials,139.86,,,2026-08-27,medium,,
GL,Financials,175.55,,,2026-08-27,medium,,
TROW,Financials,112.55,,,2026-08-27,medium,,
PARA,Communication Services,1.18,35616.1,31833.1,2026-08-27,low,,
CI,Healthcare,280.87,133.3,119.1,2026-08-27,medium,,
VZ,Communication Services,50.19,128.7,118.1,2026-08-27,medium,,
CPB,Consumer Defensive,23.23,120.3,80.0,2026-08-27,low,,
CMCSA,Communication Services,27.2,116.2,226.9,2026-08-27,low,,
T,Communication Services,25.87,114.0,65.7,2026-08-27,medium,,
MO,Consumer Defensive,69.12,17.8,6.7,2026-08-27,low,,
DUK,Utilities,121.89,17.3,1.1,2026-08-27,low,,
APA,Energy,41.19,179.5,,2026-08-27,high,,
EOG,Energy,144.84,132.6,,2026-08-27,high,,
DVN,Energy,46.83,115.0,,2026-08-27,high,,
RRC,Energy,41.55,87.1,,2026-08-27,high,,
COP,Energy,130.61,51.8,,2026-08-27,high,,
OXY,Energy,58.62,51.6,,2026-08-27,high,,
BAC,Financials,62.23,,,2026-08-27,medium,,
WFC,Financials,85.23,,,2026-08-27,medium,,
C,Financials,133.56,,,2026-08-27,medium,,
USB,Financials,62.8,,,2026-08-27,medium,,
TFC,Financials,50.67,,,2026-08-27,medium,,
PNC,Financials,244.67,,,2026-08-27,medium,,
COF,Financials,217.21,,,2026-08-27,medium,,
STT,Financials,193.62,,,2026-08-27,medium,,
MTB,Financials,241.54,,,2026-08-27,medium,,
RF,Financials,30.7,,,2026-08-27,medium,,
CFG,Financials,70.49,,,2026-08-27,medium,,
HBAN,Financials,17.04,,,2026-08-27,medium,,
KEY,Financials,22.09,,,2026-08-27,medium,,
FITB,Financials,55.1,,,2026-08-27,medium,,
BRK-B,Financials,504.91,,,2026-08-27,medium,,
MET,Financials,96.52,,,2026-08-27,medium,,
PRU,Financials,120.24,,,2026-08-27,medium,,
AFL,Financials,117.45,,,2026-08-27,medium,,
ALL,Financials,261.81,,,2026-08-27,medium,,
CB,Financials,343.77,,,2026-08-27,medium,,
TRV,Financials,371.15,,,2026-08-27,medium,,
AIG,Financials,76.97,,,2026-08-27,medium,,
HIG,Financials,139.86,,,2026-08-27,medium,,
GL,Financials,175.55,,,2026-08-27,medium,,
TROW,Financials,112.55,,,2026-08-27,medium,,
PARA,Communication Services,1.18,37288.1,33328.0,2026-08-27,low,,
CI,Healthcare,280.87,133.3,119.1,2026-08-27,medium,,
VZ,Communication Services,50.19,128.7,118.1,2026-08-27,medium,,
CPB,Consumer Defensive,23.23,120.3,80.0,2026-08-27,low,,
CMCSA,Communication Services,27.2,116.2,226.9,2026-08-27,low,,
T,Communication Services,25.87,114.0,65.7,2026-08-27,medium,,
MO,Consumer Defensive,69.12,17.8,6.7,2026-08-27,low,,
DUK,Utilities,121.89,17.3,1.1,2026-08-27,low,,
CI,Healthcare,280.87,132.0,117.8,2026-08-27,medium,,
T,Communication Services,25.87,113.3,65.1,2026-08-27,medium,,
EOG,Energy,144.84,132.6,,2026-08-27,high,,
APA,Energy,41.455,177.7,,2026-08-27,high,,
RRC,Energy,41.65,86.6,,2026-08-27,high,,
VZ,Communication Services,50.19,128.7,118.1,2026-08-27,medium,,
ALL,Financials,261.81,,,2026-08-27,medium,,
TRV,Financials,371.15,,,2026-08-27,medium,,
HIG,Financials,139.86,,,2026-08-27,medium,,
TROW,Financials,112.55,,,2026-08-27,medium,,
DVN,Energy,46.83,115.0,,2026-08-27,high,,
COP,Energy,130.61,51.8,,2026-08-27,high,,
OXY,Energy,58.62,51.6,,2026-08-27,high,,
CPB,Consumer Defensive,23.23,120.3,80.0,2026-08-27,low,,
AFL,Financials,117.45,,,2026-08-27,medium,,
GL,Financials,175.55,,,2026-08-27,medium,,
CMCSA,Communication Services,27.2,116.2,226.9,2026-08-27,low,,
WFC,Financials,85.23,,,2026-08-27,medium,,
KEY,Financials,22.09,,,2026-08-27,medium,,
BRK-B,Financials,504.91,,,2026-08-27,medium,,
CB,Financials,343.77,,,2026-08-27,medium,,
AIG,Financials,76.97,,,2026-08-27,medium,,
BAC,Financials,62.23,,,2026-08-27,medium,,
USB,Financials,62.8,,,2026-08-27,medium,,
TFC,Financials,50.67,,,2026-08-27,medium,,
PNC,Financials,244.67,,,2026-08-27,medium,,
STT,Financials,193.62,,,2026-08-27,medium,,
MTB,Financials,241.54,,,2026-08-27,medium,,
RF,Financials,30.7,,,2026-08-27,medium,,
C,Financials,133.56,,,2026-08-27,medium,,
COF,Financials,217.21,,,2026-08-27,medium,,
HBAN,Financials,17.04,,,2026-08-27,medium,,
CFG,Financials,70.49,,,2026-08-27,medium,,
FITB,Financials,55.1,,,2026-08-27,medium,,
MET,Financials,96.52,,,2026-08-27,medium,,
PRU,Financials,120.24,,,2026-08-27,medium,,
MO,Consumer Defensive,69.12,16.1,5.1,2026-08-27,low,,
DUK,Utilities,121.89,17.3,1.1,2026-08-27,low,,
CI,Healthcare,279.05,133.6,119.3,2026-08-28,medium,STRONG BUY,75.0
APA,Energy,42.54,170.6,,2026-08-28,high,STRONG BUY,68.0
VZ,Communication Services,49.805,130.5,119.7,2026-08-28,medium,STRONG BUY,65.0
TRV,Financials,369.83,,,2026-08-28,medium,STRONG BUY,65.0
HIG,Financials,138.585,,,2026-08-28,medium,STRONG BUY,65.0
