ticker,name,sector
JPM,JPMorgan Chase,Financials
BAC,Bank of America,Financials
WFC,Wells Fargo,Financials
C,Citigroup,Financials
GS,Goldman Sachs,Financials
MS,Morgan Stanley,Financials
USB,US Bancorp,Financials
TFC,Truist Financial,Financials
PNC,PNC Financial,Financials
COF,Capital One,Financials
AXP,American Express,Financials
BK,Bank of New York Mellon,Financials
STT,State Street,Financials
MTB,M&T Bank,Financials
RF,Regions Financial,Financials
CFG,Citizens Financial,Financials
HBAN,Huntington Bancshares,Financials
KEY,KeyCorp,Financials
FITB,Fifth Third Bancorp,Financials
XOM,Exxon Mobil,Energy
CVX,Chevron,Energy
COP,ConocoPhillips,Energy
EOG,EOG Resources,Energy
SLB,Schlumberger,Energy
MPC,Marathon Petroleum,Energy
PSX,Phillips 66,Energy
VLO,Valero Energy,Energy
DVN,Devon Energy,Energy
HES,Hess,Energy
OXY,Occidental Petroleum,Energy
HAL,Halliburton,Energy
BKR,Baker Hughes,Energy
FANG,Diamondback Energy,Energy
MRO,Marathon Oil,Energy
UNH,UnitedHealth Group,Healthcare
CVS,CVS Health,Healthcare
CI,Cigna,Healthcare
HUM,Humana,Healthcare
ELV,Elevance Health,Healthcare
MCK,McKesson,Healthcare
COR,Cencora,Healthcare
CAH,Cardinal Health,Healthcare
JNJ,Johnson & Johnson,Healthcare
PFE,Pfizer,Healthcare
MRK,Merck,Healthcare
ABBV,AbbVie,Healthcare
BMY,Bristol-Myers Squibb,Healthcare
AMGN,Amgen,Healthcare
GILD,Gilead Sciences,Healthcare
BIIB,Biogen,Healthcare
ZTS,Zoetis,Healthcare
HCA,HCA Healthcare,Healthcare
THC,Tenet Healthcare,Healthcare
HON,Honeywell,Industrials
GE,General Electric,Industrials
MMM,3M,Industrials
CAT,Caterpillar,Industrials
DE,Deere & Company,Industrials
EMR,Emerson Electric,Industrials
ETN,Eaton,Industrials
ITW,Illinois Tool Works,Industrials
PH,Parker Hannifin,Industrials
ROK,Rockwell Automation,Industrials
DOV,Dover,Industrials
FDX,FedEx,Industrials
UPS,United Parcel Service,Industrials
DAL,Delta Air Lines,Industrials
UAL,United Airlines,Industrials
AAL,American Airlines,Industrials
LUV,Southwest Airlines,Industrials
GD,General Dynamics,Industrials
LMT,Lockheed Martin,Industrials
RTX,Raytheon Technologies,Industrials
NOC,Northrop Grumman,Industrials
BA,Boeing,Industrials
WM,Waste Management,Industrials
RSG,Republic Services,Industrials
PG,Procter & Gamble,Consumer Defensive
KO,Coca-Cola,Consumer Defensive
PEP,PepsiCo,Consumer Defensive
WMT,Walmart,Consumer Defensive
COST,Costco,Consumer Defensive
TGT,Target,Consumer Defensive
KR,Kroger,Consumer Defensive
SYY,Sysco,Consumer Defensive
MO,Altria,Consumer Defensive
PM,Philip Morris,Consumer Defensive
KHC,Kraft Heinz,Consumer Defensive
GIS,General Mills,Consumer Defensive
K,Kellogg,Consumer Defensive
CPB,Campbell Soup,Consumer Defensive
CL,Colgate-Palmolive,Consumer Defensive
CLX,Clorox,Consumer Defensive
KMB,Kimberly-Clark,Consumer Defensive
CHD,Church & Dwight,Consumer Defensive
NEE,NextEra Energy,Utilities
DUK,Duke Energy,Utilities
SO,Southern Company,Utilities
D,Dominion Energy,Utilities
AEP,American Electric Power,Utilities
EXC,Exelon,Utilities
SRE,Sempra Energy,Utilities
XEL,Xcel Energy,Utilities
ES,Eversource Energy,Utilities
WEC,WEC Energy Group,Utilities
DTE,DTE Energy,Utilities
PPL,PPL Corporation,Utilities
CMS,CMS Energy,Utilities
T,AT&T,Communication Services
VZ,Verizon,Communication Services
CMCSA,Comcast,Communication Services
GOOGL,Alphabet,Communication Services
META,Meta Platforms,Communication Services
NFLX,Netflix,Communication Services
DIS,Walt Disney,Communication Services
PARA,Paramount Global,Communication Services
WBD,Warner Bros Discovery,Communication Services
FOXA,Fox Corporation,Communication Services
NWS,News Corp,Communication Services
OMC,Omnicom Group,Communication Services
IPG,Interpublic Group,Communication Services
BRK-B,Berkshire Hathaway,Financials
MTN,Vail Resorts,Consumer Cyclical
F,Ford Motor,Consumer Cyclical
GM,General Motors,Consumer Cyclical
IBM,IBM,Technology
CSCO,Cisco Systems,Technology
QCOM,Qualcomm,Technology
TXN,Texas Instruments,Technology
HPQ,HP Inc,Technology
HPE,Hewlett Packard Enterprise,Technology
NTAP,NetApp,Technology
CTSH,Cognizant Technology,Technology
STX,Seagate Technology,Technology
SWKS,Skyworks Solutions,Technology
MSI,Motorola Solutions,Technology
FFIV,F5 Networks,Technology
AKAM,Akamai Technologies,Technology
HD,Home Depot,Consumer Cyclical
LOW,Lowes Companies,Consumer Cyclical
TJX,TJX Companies,Consumer Cyclical
BBY,Best Buy,Consumer Cyclical
DG,Dollar General,Consumer Cyclical
DLTR,Dollar Tree,Consumer Cyclical
ROST,Ross Stores,Consumer Cyclical
MGM,MGM Resorts,Consumer Cyclical
LVS,Las Vegas Sands,Consumer Cyclical
STLA,Stellantis,Consumer Cyclical
BWA,BorgWarner,Consumer Cyclical
LKQ,LKQ Corporation,Consumer Cyclical
AZO,AutoZone,Consumer Cyclical
ORLY,OReilly Automotive,Consumer Cyclical
RL,Ralph Lauren,Consumer Cyclical
TPR,Tapestry,Consumer Cyclical
PVH,PVH Corp,Consumer Cyclical
DD,DuPont de Nemours,Basic Materials
DOW,Dow Inc,Basic Materials
FCX,Freeport-McMoRan,Basic Materials
CF,CF Industries,Basic Materials
MOS,Mosaic Company,Basic Materials
CE,Celanese,Basic Materials
EMN,Eastman Chemical,Basic Materials
PPG,PPG Industries,Basic Materials
RPM,RPM International,Basic Materials
IP,International Paper,Basic Materials
WRK,WestRock,Basic Materials
PKG,Packaging Corp of America,Basic Materials
NEM,Newmont,Basic Materials
LIN,Linde,Basic Materials
APD,Air Products,Basic Materials
O,Realty Income,Real Estate
NNN,NNN REIT,Real Estate
CCI,Crown Castle,Real Estate
WELL,Welltower,Real Estate
VTR,Ventas,Real Estate
KIM,Kimco Realty,Real Estate
HST,Host Hotels,Real Estate
WPC,W P Carey,Real Estate
EQR,Equity Residential,Real Estate
MAA,Mid-America Apartment,Real Estate
MET,MetLife,Financials
PRU,Prudential Financial,Financials
AFL,Aflac,Financials
ALL,Allstate,Financials
CB,Chubb,Financials
TRV,Travelers Companies,Financials
AIG,American International Group,Financials
HIG,Hartford Financial,Financials
GL,Globe Life,Financials
SCHW,Charles Schwab,Financials
TROW,T Rowe Price,Financials
IVZ,Invesco,Financials
BEN,Franklin Resources,Financials
WTW,Willis Towers Watson,Financials
ADM,Archer-Daniels-Midland,Consumer Defensive
BG,Bunge,Consumer Defensive
TSN,Tyson Foods,Consumer Defensive
HRL,Hormel Foods,Consumer Defensive
CAG,Conagra Brands,Consumer Defensive
HSY,Hershey,Consumer Defensive
SJM,JM Smucker,Consumer Defensive
MDT,Medtronic,Healthcare
ABT,Abbott Laboratories,Healthcare
BDX,Becton Dickinson,Healthcare
BAX,Baxter International,Healthcare
DGX,Quest Diagnostics,Healthcare
LH,LabCorp,Healthcare
HSIC,Henry Schein,Healthcare
VTRS,Viatris,Healthcare
OGN,Organon,Healthcare
CARR,Carrier Global,Industrials
GWW,WW Grainger,Industrials
JBHT,JB Hunt Transport,Industrials
CHRW,CH Robinson,Industrials
MHK,Mohawk Industries,Industrials
WCC,WESCO International,Industrials
XPO,XPO Inc,Industrials
GNRC,Generac Holdings,Industrials
MSC,MSC Industrial,Industrials
APA,APA Corporation,Energy
CTRA,Coterra Energy,Energy
OVV,Ovintiv,Energy
RRC,Range Resources,Energy
NOV,NOV Inc,Energy
